IDS_SCENARIO_GAISERIC "Gaiseric (406)"
398104 "1. You have a population limit of 500 and can research both Castle and Imperial Age technologies.\n\n2. The Byzantine tech tree has been modified. You cannot train Cavaliers/Paladins, Camel Riders, Galleons, Cannon Galleons, or trade units. You also cannot build most buildings or Farms.\n\n3. There is a rhythm to the siege. Use the breaks in the fighting to rebuild your defenses, gather resources, and improve your army for the next assault.\n\n4. Protect the Relics in the Monasteries. These are your only source of Gold.\n\n5. Once the livestock are slaughtered, you will need to rely on fish to feed your people.\n\n6. Stone can be found among the ancient ruins scattered across the city.\n\n7. As the siege continues, you will run low on available resources. Use the Market to trade for what you need but know that price inflation is inevitable during a prolonged siege.\n\n8. You can research unique technologies at the Hagia Sophia (Monument).\n\n9. All men and women may be needed for the defense. Any Villagers you can spare can be garrisoned for additional firepower, but be careful to not lose them. Villagers cannot be replaced.\n\n10. Complete secondary objectives for bonuses and to gain additional units. You are unlikely to succeed in holding off the Ottomans without these benefits. But note that not every objective is advised or possible, depending on your situation. Some will be far too risky to attempt.\n\n11. Make use of any Galleons you have or find. These Venetian and Genoese ships are nearly invulnerable to the Ottoman fleets and can draw enemy fire away from your Fire Ships."
398105 "Your scouts report:\n\n- The city of Constantinople is all that remains of the once great Roman Empire. Decades of decline and the Crusader sack of the city in 1204 has made Constantinople a shadow of its former self. The old forums and amphitheaters have been replaced by small farming villages.\n\n- The city's location -- protected by sea on three sides and the mighty Theodosian Walls on the landward side -- has ensured its survival for centuries. The city's walls have never before faced cannons, however.\n\n- The northern portion of the outer walls holds the Blachernae palace. This area was a later extension of the Theodosian line, so it lacks the double layer of defenses seen elsewhere along the perimeter. Crack Roman troops guard this area under the command of Loukas Notaras.\n\n- Just south of the Blachernae is the Gate of Charisius, protected by the Italian troops of the Genoese captain, Giovanni Giustiniani, a famed and skilled captain. The Italians are fearsome cavalrymen and archers and even have experience with light hand cannons.\n\n- Below Giutinaini's position is the Lycus River that bisects much of the city. Further south are the gates of St Romanus, Rhesios, the Military Gate, and the Golden Gate. These are defended by Roman troops under the command of Constantine XI's cousin, Theophilos Palaiologos.\n\n- Inside the city, the ancient walls of Constantine provide another layer of defense. In the north is the Italian quarter with a harbor overlooking the Golden Horn, quiet seas protected from the east by a great sea chain. On the southern side of the city are other harbors protected by sea walls. North of the eastern harbors, the ruins of the great city, including the Hippodrome, can be seen.\n\n- Finally, the core of the city -- the Acropolis -- stands on the tip of the peninsula, protected by one last layer of defenses and including the great Church of the Holy Wisdom, the Hagia Sophia. The Turks must never be permitted to enter this hallowed Church.\n\n- The Turks themselves have made camps in the west, in the north, and in the east on the Anatolian shore. They control the Bosporus and Marmara Sea with blockades of galleys. Their land armies consist of swordsmen, cavalry, and cavalry archers, but, most feared are their Janissaries and Bombard Cannons. These must not be allowed to break into the city that has withstood invaders for over a millennium."
398106 "Theophilos Palaiologos"
398107 "Cardinal Isidore"
398108 "Hagia Sophia"
398109 "Mayor-General Lomellino"
398110 "Sultan Mehmed"
398111 "Suleiman Baltoghlu's Flagship"
398112 "Hamza Bey's Flagship"
398113 "Zaganos Pasha"
398114 "Halil Pasha"
398115 "Loukas Notaras"
398116 "Orhan Celebi"
398117 "Gabriele Trevisano"
398118 "Giovanni Giustiniani"
398119 "Emperor Constantine XI"
398120 "<Variable 1> April <Variable 2>"
398121 "<Variable 1> May <Variable 2>"
398122 "<Variable 1> June <Variable 2>"
398123 "+ The sacred church, the Hagia Sophia, must not be taken by the Turks."
398124 "+ Protect the Hagia Sophia."
398125 "+ Emperor Constantine XI must survive."
398126 "+ Constantine XI must survive."
398127 "+ Survive until the summer heat and Western crusaders force the Turks from the field."
398128 "+ Survive until 1 June 1453."
398129 "Secondary objectives available on Objectives screen (F6)"
398130 "%d until the Turkish assault."
398131 "%d until the assault ends."
398132 "<BLUE>Strategos: Emperor, the ravenous Turk Mehmed approaches with his devilish host. By the Blessed Virgin, we will defend Constantinople from these Turkish heathens!"
398133 "<GREY>You have a few moments to move your troops into position, train units, research technologies, build defenses, and gather resources before the Turkish assault."
398134 "<BLUE>Strategos: The heathen comes! Show the Turk our Christian resolve!"
398135 "<BLUE>Strategos: The Turk runs! Let them go. We have much to rebuild before they gain the courage for their next assault."
398136 "<BLUE>Strategos: There is a natural rhythm to a siege. When the Turks pull back, we gather resources and repair the defenses before the next assault. We will hold vigil along the walls and in the churches."
398137 "<BLUE>Strategos: The heathen comes again! Hold them off, men!"
398138 "<BLUE>Strategos: They run! Collect the dead and prepare for their next assault..."
398139 "<BLUE>Strategos: The Turk sends his best janissaries against us! We will show these once Christians the price of straying from the Lord!"
398140 "<BLUE>Strategos: The Turk sends his galleys against our sea walls! Man the towers and send the fire ships! We will send the Turk's sailors to the bottom of the sea!"
398141 "- Find the Genoese defending Leander's Tower on the Bosporus."
398142 "- Send troops to the Mayor-General of Galata to negotiate an alliance."
398143 "- Kill the Ottoman commander Zaganos Pasha near Galata to gain their support."
398144 "- Sink the flagship of the Ottoman admiral Suleiman Balthoghlu."
398145 "- Sink the flagship of the Ottoman admiral Hamza Bey."
398146 "- Destroy the Ottoman Docks in the north to stop their portage operations."
398147 "- Raid the Ottoman camp and wound the Turkish Sultan to inspire the men. This attack will be suicide for any men you send."
398148 "<BLUE>Strategos: My lord, the great Hagia Sophia has gone quiet since the Catholic ceremonies uniting our Church with Rome. Nonetheless, you will find ways to inspire the people under that hallowed dome."
398149 "<GREY>Powerful unique technologies can be researched at the Hagia Sophia (Monument)."
398150 "<BLUE>Strategos: The Emperor has fallen! Fight on, Romans! We die here with our Emperor!"
398151 "<BLUE>Strategos: The end has come! Run, Romans! Do not let the heathen make slaves of you!"
398152 "<BLUE>Strategos: The Blachernae has fallen! Christian men, do your duty and fight to the death for our Lord Christ and His Blessed Mother!"
398153 "<BLUE>Strategos: The Gate of Charisius has fallen! Hold the breach, men! Do not let the ravenous Turk have his way into your homes!"
398154 "<BLUE>Strategos: The heathen has broken through the gate of Saint Romanus! Stand firm, soldiers, and hold this vile enemy back!"
398155 "<BLUE>Strategos: The Gate of Rhesios has been broken through! May the Blessed Virgin Mother protect us!"
398156 "<BLUE>Strategos: The heathens have broken into the heart of the city! Fight, Christians! Did you expect to live forever?"
398157 "<BLUE>Strategos: Stand fast, men of Rome, and fight for our Lord God! Fourteen centuries of our Roman ancestors look upon you now!"
398158 "<BLUE>Strategos: The mayor-general of Galata places his rich trade before his Christian honor. We should send men to him to convince him to join us."
398159 "<YELLOW>Mayor-General: I do not wish the Turk to ravage your city any more than I would have him plunder my own, but overt support will mean war between the Turk and Genoa, something not in my power to authorize."
398160 "<YELLOW>Mayor-General: I will help you though through subtler means, if you protect me from the Turkish pasha Zaganos. Kill him, and I will assist you quietly but strongly."
398161 "<YELLOW>Mayor-General: My men cannot fight the Turk directly, but if a few renegades decide to give you bread and coin -- or even a few ships -- I cannot stop the actions of free men."
398163 "<BLUE>Strategos: Two Turk pashas control the fleets. If we strike against their flagships, the soldiers will fight with renewed resolve."
398164 "<BLUE>Strategos: The Turk admiral has been sent to a watery grave!"
398165 "<BLUE>Strategos: The Turk pasha has gone down with his cursed ship!"
398166 "<BLUE>Strategos: My lord, the devious Turk cannot break our sea walls so he carries his ships overland into the Golden Horn. We must stop this portage or we will lose our harbor!"
398167 "<BLUE>Strategos: We have stopped the Turk's attempt to flank us and will have no fear of their ships from this approach."
398168 "<BLUE>Strategos: Good tidings, my lord! The Pope in Rome sends reinforcements to us. They must get through the sturdy Turk blockade, but may this be the vanguard of a great crusader army!"
398169 "<BLUE>Strategos: My lord, I have an idea, as foolish as it is daring. If we send men into the Turk's camp and even just graze the Sultan, it will show the Turk and our men how determined we are. This, of course, will be certain death to the men you send."
398170 "<BLUE>Strategos: The Great Turk Mehmed has been wounded and our men rejoice! They will fight with renewed vigor! There will be a special place beside the Lord for those men who died to bring us this victory!"
398171 "<BLUE>Strategos: Hold a bit longer, men! The Turk resolve is straining! I can feel it!"
398172 "<BLUE>Strategos: They run! They run for good! They finally run for good!"
398173 "<BLUE>Strategos: The Blessed Virgin Mother has seen to our prayers and we have won a great victory! The heathen has been pushed from our lands and Constantinople will remain a Christian city, now and for always!"
398174 "<BLUE>Strategos: The Genoese captain, Giovanni Giustiniani, commands the center with a contingent of his countrymen."
398175 "<BLUE>Strategos: The rightful Turk sultan has a following who will fight alongside us, even if they are cursed heathens. After all, if they were captured alive, the Turk Mehmed would visit horrors unto them worse than the depths of hell."
398176 "<BLUE>Strategos: The Venetian and Genoese quarters of the city, overlooking the ports on the Golden Horn. Notice the two Italian Galleons. They are stronger than any we can produce."
398177 "<BLUE>Strategos: Your cousin, Theophilos, defends the south with the rest of our best troops."
398178 "The Emperor is in danger!"

// Constantine XI (1453)

399101 "The bell tolled as the troops manned the ancient walls. These defenses, built during the reign of the Emperor Theodosius II, had preserved this last bastion of the Roman Empire for over a millennium."
399102 "These walls had, over many centuries, withstood assaults by Huns, Goths, Persians, Avars, Bulgars, and Arabs. Only the Latin Crusaders had been able to take the city, but even they had done so only with treachery."
399103 "The walls themselves had remained untouched, invulnerable, never breached in their thousand years. But these walls had also never before faced cannons..."
399104 "Sultan Mehmed, commander of the invading armies, knew this well. Below the walls and stretching for miles to the west were the rows of tents and campfires of his Ottoman army."
399105 "The Sultan had come for conquest – to take this Red Apple of the World at any cost. No multitude of his soldiers would be too high of a price to pay for his victory, but he also knew his cannons would be the key to his triumph; the key that would unlock these formidable walls and grant him the city of men's desire."
399106 "The Sultan stood in front of his simple tent, beside a pole bearing a horse tail: the Turkish symbol for war. With a flick of his wrist, as if his multitude of soldiers, cavalry, and cannons were but a string hanging from his finger, he ordered the attack."
399111 "In truth, the Ottoman armies overwhelmed the defenders of Constantinople..."
399112 "The walls that had been impregnable for centuries were battered by cannons. The hordes of Turkish soldiers climbed over the bodies of their own dead but did not relent. Even still, a door was left open and that was how they had entered the city. The handful of Greek and Italian soldiers bravely held the line but were surrounded and decimated."
399113 "As the dawn broke, Constantinople was reduced to flames and ash. The golden and jeweled adornments of the Hagia Sophia – the church that had stood in regal splendor for nine centuries – were ripped from the walls. Women and children crowded in the church. They prayed for the intervention of angels with fiery swords of justice who would smite the invaders, but were instead herded and chained."
399114 "A few barred the doors of the smaller churches, frantically ringing the bells as a signal to any soldier left alive – or any ship at sea – that innocents were within, holding fast and praying for a salvation that would not come. The Turkish soldiers, greedy for plunder, battered and broke the walls."
399115 "In a few hours, a thousand years of Constantinople – the last moments of the Roman Empire – disappeared in flames and smoke as the final church bells tolled their last..."

//
// Fetih (1453)
//

398201 "Constantinople"
398202 "Roman Army"
398203 "Genoese Galata"
398204 "Westerners"
398205 "Quartermasters"
398206 "1. You have a population limit of 500 and begin with all technologies researched. Use your abundant resources to quickly establish your bases and begin gathering from the land.\n\n2. Ottoman Quartermasters have set up supply routes by land and sea in the east and west. Use Trade Carts and Trade Cogs to trade with the Quartermasters and supplement your economy.\n\n3. Constantinople's defenses are layered. Once you have breached the walls, make sure you have enough strength to exploit and sustain your attack. If you do not, you may invite enemy attacks on your own camp.\n\n4. The Ottoman fleets are nearby awaiting Mehmed's command.\n\n5. Establishing your navy in the northwest will allow you to circumvent the enemy sea wall."
398207 "Your scouts report:\n\n- The Ottoman army, like its territory, is split on both sides of the Bosporus with the city of Constantinople in between. Mehmed must build up his land and naval forces to storm the city before the arrival of relieving Western forces.\n\n- Constantinople (Purple) is a shadow of its former self, but it remains the grand apple of the world that draws the heart of a conqueror. It is protected by sea on three sides and the mighty Theodosian Walls on the landward side. It is defended by the Roman Army (Blue) and a smaller collection of Westerners (Red) who heeded the Roman Emperor's pleas for assistance.\n\n- There are several key landmarks in the city. The northern portion of the outer walls contains the Blachernae palace. It lacks the double layer of defenses seen elsewhere along the perimeter. Inside the city, Constantine's walls provide another layer of defense. In the north is the Italian quarter with a harbor overlooking the Golden Horn, quiet seas facing neutral Galata (Yellow). The Horn is protected from the east by a great sea chain. Additional harbors lie on the southern side of the peninsula.\n\n- The core of the city stands on the tip of the peninsula, protected by one last layer of defenses. This section contains the Hagia Sophia, the target of Mehmed's conquest."
398208 "<Date> April <Year>"
398209 "<Date> May <Year>"
398210 "<Date> June <Year>"
398211 "+ Capture the Hagia Sophia."
398212 "+ Kill Constantine XI."
398213 "- Lose fewer than 500 units (<Remaining> remaining)."
398214 "<GREEN>Mehmed II: One day, Constantinople will be conquered. Great is the commander who will conquer it. Great are his soldiers."
398215 "<GREEN>Mehmed II: That day is upon us."
398216 "<GREEN>Mehmed II: The walls are breached! Push forward!"
398217 "<GREEN>Mehmed II: Fight on! Into the heart of the city!"
398218 "<GREEN>Mehmed II: I see the red apple of man's desire. One more push for greatness!"
398219 "<GREEN>Mehmed II: The red apple is mine!"
398220 "<GREEN>Mehmed II: The Westerners are attempting to bring reinforcements into the city. Sink their ships!"
398221 "<GREEN>Mehmed II: The Westerners are arriving to save their city. I have failed! Retreat! Retreat!"
398222 "<GREEN>Mehmed II: The Romans have blocked the Golden Horn, but I can build my fleet behind their defenses."
398223 "<GREEN>Mehmed II: The Westerners will be here soon. We are running out of time!"
398224 "+ Destroy all Byzantine Castles."
398225 "+ Kill Orhan Celebi."
398226 "+ Kill Theophilos Palaiologos."
398227 "+ Kill Giovanni Giustiniani."
398228 "- Tribute 1000 Gold to Galata to capture the colony."
398229 "- Destroy Galata."

// Fetih (1453)

399121 "When Mehmed became sultan, it was said that the courts of Christian Europe celebrated."
399122 "And why would they not?"
399123 "The twenty-one-year-old had shown no indications that he could live up to his illustrious predecessors. These forefathers had conquered their way from Anatolia to the Balkans, leaving only Constantinople resolutely defying their might."
399124 "But Mehmed was not like his forefathers. They were strong and capable while he enjoyed pleasure and frivolity."
399125 "His father Murad had even attempted to force maturity onto his young heir by abdicating and giving him the reins of power."
399126 "Mehmed promptly asked his father to return."
399127 "But when Murad died, Mehmed was forced to become sultan."
399128 "Mehmed knew he had many doubters. He had to prove his worth and he chose the biggest prize of all."
399129 "He chose to conquer the unconquerable: Constantinople, the Red Apple of the World."
399131 "Mehmed granted his soldiers three days to plunder the city. On the third day, he ordered the call to prayer to be sounded from the pulpit of the Hagia Sophia."
399132 "Across the courts and churches of Europe, people shuddered at Mehmed's name. But in the Muslim world, his victory was celebrated. 'Fetih,' they called him: the Conqueror."
399133 "No one would ever doubt Mehmed again."

//
// Shimazu (1545)
//

398401 "Itō"
398402 "Ryūzōji"
398403 "Otomo"
398404 "Minor Clans and Pirates"
398405 "Shōgun"
398406 "Korea"
398407 "Nanban"
398408 "1. You have a population limit of 150.\n\n2. Units have been modified to reflect the Sengoku Jidai period. Pay close attention to the unit statistics. For example, Spearmen are now basic infantry.\n\n3. The relationships between units have changed. Spearmen beat Mounted Samurai who beat Rattan Archers who beat Spearmen. Samurai are your strongest units, though vulnerable at range.\n\n4. Cavalry Archers and Hand Cannoneers have supplementary roles, but can be devastating in numbers.\n\n5. Ninjas are lightly-armored but can instantly kill a much stronger Samurai or hero. They are useless against commoner units, however.\n\n6. Hand Cannoneers are trainable at the Siege Workshop after you have constructed a Nanban Quarter.\n\n7. Tribute resources to the Shogun to delay his attack. It would be a mistake to draw his ire too early.\n\n8. Space for building is limited. Attack minor clans on nearby islands for space and access to resources.\n\n9. Completing Nanban objectives is optional but provides access to powerful units and technologies. Constructing a Nanban Quarter will continually anger the Shogun."
398409 "Your scouts report:\n\n- Your clan, the Shimazu, rules Satsuma province in the southwest of Kyushu. Descendants of the Minamoto, your family has ruled here for over two centuries, but the time has come to expand your domain and subjugate all of Kyushu.\n\n- The Itō (Purple) control two provinces (Osumi and Hyuga) in southeastern Kyushu. A moderate power in Shogunate politics, they fight primarily with Spearmen, archers, and Samurai.\n\n- The Ryūzōji (Yellow) are a recently emerging power in Kyushu, having conquered the northwest of the island from the defeated Shoni. Their provinces (Hizen, Chikugo, and Higo) are defended by Mounted Samurai as well as foot troops.\n\n- The Otomo (Blue), have long been a major clan in northeastern Kyushu, gaining renown by their efforts to resist the Mongol invasions centuries ago. Their daimyo is receptive to foreign ideas, however, and has begun to recruit Nanban. The Otomo defend their provinces (Bungo, Buzen, and Chikuzen) with traditional Japanese forces combined with Nanban mercenaries and Ashigaru equipped with firearms.\n\n- Other minor clans and Wako pirates inhabit Kyushu and the surrounding islands. Trading with these minor clans or conquering them for their resources are both possible options for an expansive daimyo. An unscrupulous lord may even go to Shikoku in the east to recruit the famed Murakami Pirates.\n\n- The Shogun rules Japan from far away Kyoto, but has a presence among the Mori clan to the northeast. The crossing from Mori lands to Kyushu is not easy, but an angry Shogun may nonetheless send a large invasion army. Conquering provinces, destroying Japanese buildings, and allying with the Nanban will increase the Shogun's ire.\n\n- The Joseon Kingdom of Korea, located northwest of Kyushu, has long been a source of plunder for Wako pirates. Raiding the coast would be lucrative, but many ships will be needed to defeat the small but powerful Korean navy.\n\n- Finally, Nanban, or Southern Barbarians, have been rumored to have landed on Tanegashima Island in the far south. They would make interesting allies, but friendship with these foreigners will draw the ire of the Shogun."
398410 "Shimazu Takahisa"
398411 "Itō Yoshisuke"
398412 "Ryūzōji Takanobu"
398413 "Otomo Sōrin"
398414 "Hikikomori"
398415 "Buddhist Monk"
398416 "It is a time of change. Satsuma province has always provided for the Shimazu clan, but new opportunities have come. You are at war with other clans, while foreigners have arrived in the southern islands."
398417 "But beware the power of the Shogun. Though he rules from far away, you will inevitably come to blows with him. You must prepare to defeat him in order to ensure your dominance over the Nine Provinces of Kyushu."
398418 "It is tradition for Daimyo to hold head-viewing ceremonies after great battles to reward retainers for every enemy killed. Therefore, it is necessary to keep a stock of gold to pay out to your warriors."
398419 "Every kill reduces your Gold. Maintain a Gold stockpile to pay rewards."
398420 "Your Samurai are frustrated that their head-taking will not be rewarded because you have no gold. They will soon leave to join your enemies."
398421 "You have gone too long without rewarding your Samurai for head-taking. They have betrayed you and joined your enemies."
398422 "As your power in Kyushu grows, you may draw the ire of the Shogun. Acts of aggression or welcoming foreigners to Japan will increase his ire. Sending him gifts and tribute will help calm his anger."
398423 "Friendly officials in Kyoto will continue to monitor the Shogun's mood and provide warning when he will invade."
398424 "Conquering provinces and destroying enemy buildings increase the Shogun's ire. Send tribute to lower his ire."
398425 "Sending gifts to the Shogun and his court officials in Kyoto would help assuage the Shogun's ire and buy you more time."
398426 "Tribute to the Shogun to reduce his ire."
398427 "The Shogun is pleased you honor him with gifts."
398428 "The Shogun's ire grows. It may be wise to dispatch gifts to Kyoto."
398429 "The Shogun's ire grows. It would be wise to begin preparations for his invasion."
398430 "The Shogun has called upon Honshu's clans loyal to him. He is beginning to mobilize a great army for the invasion of Kyushu. The time has come to resist the Shogun."
398431 "The Shogun has sent a great army to conquer Kyushu."
398432 "Shimazu friendship with the Nanban foreigners has drawn the suspicions of the Shogun. He questions why the Shimazu have abandoned our traditions. Surely, he also fears your gunpowder weapons."
398433 "Continuing your relationship with the Nanban will increase the Shogun's ire, but may provide greater rewards."
398434 "It would be disgraceful to needlessly destroy the Emperor's lands. Instead, it would be wise to target your enemies' Castles. If a Castle is sufficiently damaged, its garrison – and the surrounding province – will be forced to submit to you."
398435 "You have conquered this Castle and the surrounding province. Send Villagers to repair the damage from your siege."
398436 "Your objective is to conquer the remaining seven provinces of Kyushu."
398437 "Sea trade is only permitted for those ships carrying a red-sealed permit from the Shogun. Captains of these so-called Red Seal Ships can be found plying their wares along Kyushu's coasts."
398438 "Your fishermen have found valuables left behind in a shipwreck."
398439 "You have found the hidden cove of the Murakami pirates. They provide the services of their Dragon Ship to the Shimazu clan."
398440 "Strange bearded men have come from the south to land on the island of Tanegashima. These Nanban, or Southern Barbarians, have unusual ships and weapons, and are preaching a strange religion."
398441 "Perhaps there is value to visiting Tanegashima to make contact with these barbarians."
398442 "The Nanban have a repugnant, unwashed odor, but their weapons and ways are, nonetheless, intriguing. Their captain asks that a Nanban Quarter be constructed in Shimazu lands, enabling trade with these foreigners."
398443 "This would be the first step in a possible relationship, but will also increase the Shogun's ire."
398444 "Can now construct a Nanban Quarter (Feitoria). Construct to continue your relationship with the Portuguese and gain access to gunpowder weapons. The Shogun's ire will continually rise, however."
398445 "The Nanban have strange ways, but they bring wealth – and firearms – to your domain."
398446 "Can now train Hand Cannoneers at the Siege Workshop. Can now construct Trade Cogs."
398447 "The Nanban captain asks that you permit missionaries to preach their religion among the people."
398448 "Build a Monastery to gain access to further European technologies and units."
398449 "Many of your Samurai embrace this new religion called Christianity. Missionaries can now be sent to preach the Word of God to other clans. This will please the Nanban and cause them to share their technologies."
398450 "You may also now recruit foreign mercenaries – fearsome men who wield firearms from horseback."
398451 "Can now train Missionaries and Conquistadors at Monasteries. Convert enemies to receive additional rewards."
398452 "Because your lands have become such a promising foothold for the Christian religion, the Nanban captain offers the services of his Caravel. It is a mightier ship than any previously known in Japan."
398453 "Shimazu friendship with the Nanban pays more dividends. For a price, the foreigners offer knowledge on the production of an improved Arquebus at the Castle."
398454 "Arquebus Unique Technology available for research."
398455 "The Nanban shipwrights offer their knowledge at the Dock. Researching Shipwright will enable you to eventually construct Galleons."
398456 "Shipwright available for research. Research Shipwright to unlock additional Dock technologies."
398457 "The three other major clans of Kyushu are the Itō along the southeastern coast, the Ryūzōji in the north and west, and the Otomo in the northeast. Smaller clans inhabit the islands off Kyushu and the island of Shikoku in the east."
398458 "The Otomo have embraced the ways of the Nanban. They are now followers of the foreign religion and equip their soldiers with Nanban weapons."
398459 "The Joseon Kingdom of Korea, located northwest of Kyushu, has long been a source of spoils for Wako pirates. Raiding Korea will provide plunder to fill your coffers."
398460 "The Korean Navy is far more advanced than anything known in Japan. Their Turtle Ships will be difficult to defeat."
398461 "The Mori clan inhabit the western edges of Honshu in the northeast. They are protected by the Shogun, so war against them is not possible at this time."
398462 "Minor clans occupy the island of Shikoku to the east. They can be conquered to gain access to this island's resources."
398463 "Yari Ashigaru or Spearmen are the front-line troops of any Daimyo. They only cost food and wood so should make up the majority of your armies. They are most effective against cavalry but are vulnerable to Samurai and archers."
398464 "Spearmen are stronger and more versatile than they look. They should form the core of your armies."
398465 "Yumi Ashigaru are basic ranged troops most effective at whittling down infantry. They are vulnerable to cavalry and even foot Samurai if they are permitted to close with the archers."
398466 "Samurai are your elite foot warriors trainable only at a Castle. They are general purpose soldiers but stronger than Spearmen. They are vulnerable to units at range and Ninja assassins in melee."
398467 "Mounted Samurai are the strongest of your warriors. The weight of Samurai armor on undersized horses means they are not swift but can still turn the tide of battle, especially if spearmen are kept away."
398468 "Shrouded in mystery, Ninjas are lightly-armored but are capable of delivering an instant killing blow if they are permitted to get close to their targets. They are best used against Samurai and heroic units."
398469 "The Samurai once fought as mounted archers. Now, only some continue this craft. These Cavalry Archers have no effective counters if they are able to remain at range, but are expensive to train and equip."
398470 "A special retainer, a Samurai hero, is available for recruiting at the Castle. Heroes are expensive and time-consuming to recruit, but are Japan's finest warriors."
398471 "Inquisitive merchants can be recruited at Markets. These observant commoners make excellent spies, capable of traveling without attracting suspicion."
398472 "Fishing Ships are sturdy vessels that can be used to explore the islands. If brought to a shipwreck, the curious fishermen will recover valuable trinkets and other supplies."
398473 "Itō clan surrenders."
398474 "Ryūzōji clan surrenders"
398475 "Otomo clan surrenders."
398476 "All the clans of Kyushu have now submitted to the Shimazu clan. Defeat the Shogun's army to assert your independence."
398477 "The Shogun's army has been defeated. He will bother the Shimazu clan no more. But other clans remain in Kyushu."
398478 "All the clans of Kyushu have submitted to the Shimazu clan. Even the Shogun has been brought low by the force of Shimazu arms."
398479 "You have begun free play. When finished, Declare Victory at the Town Center via special technology to end the scenario."
398480 "War Galley and Cannon Galleon Researched. Can now research Galleon."
398481 "Year: <Year> CE"
398482 "Shogun's Ire: <Ire>/100"
398483 "+ Rule <provinces>/9 provinces of Kyushu."
398484 "+ Rule <provinces>/9 provinces."
398485 "+ Prepare to fight the Shogun."
398486 "+ Defeat the Shogun."
398487 "- Damage Castles to Capture provinces."
398488 "- Tribute to the Shogun to reduce his ire."
398489 "- Find Red Seal Ships (<Seal Ship Found>/5)."
398490 "- Recover Shipwrecks (<Shipwrecks Found>/5)."
398491 "- Visit the Nanban (south)."
398492 "- Build a Nanban quarter (Feitoria) to accept their trade."
398493 "- Build a Monastery to allow missionaries to spread Christianity."
398494 "- Convert enemies to receive benefits (<Conversions>/<conversions needed> conversions)."
398495 "- Raid the Korean coast."
398496 "You have begun free play. When finished, Declare Victory at the Town Center (special technology) to end the scenario."
398497 "Free Play: Declare Victory at the Town Center to end the scenario."
398498 "Shogun's Army: <Military Population, 6>"
398499 "Create <b>Inquisitive Merchant<b> (<cost>)\nAn observant merchant who can act as a spy. Slow moving scout with large line of sight. Will not be attacked by enemy units."
398500 "Create <b>Hero<b> (<cost>)\nA skilled Kensei (sword saint). Only the greatest samurai serve the greatest daimyo.\n<hp> <attack> <armor> <piercearmor>"
398501 "Declare Victory"
398502 "%d until the Shogun invades."
398503 "Daimyo"

// Shimazu (1545)

399161 "For two centuries, the Ashikaga Shoguns ruled Japan. Now, the clans no longer obey and strange foreigners have come to the islands."
399162 "Your clan, the Shimazu, rules one of the Nine Provinces of Kyushu. Your clan is descended from the first Shogun, Yoritomo. It is respected and its samurai are the best in Japan."
399163 "If the clans must vie for the Shogunate, then your clan's claims are stronger than most. Strong, too, are your claims on Kyushu."
399164 "It is time for the Shimazu to be restored to their rightful place."
399171 "You have vanquished your rivals on Kyushu and challenged the overmighty Shogun."
399172 "The Shimazu clan now rules all of the Nine Provinces of Kyushu and has restored its rightful place on these islands."

//
// Oda (1551)
//

398601 "Oda"
398602 "Takeda"
398603 "Uesugi"
398604 "Mori"
398605 "Otomo"
398606 "Chosokabe"
398607 "Kyoto"
398608 "1. You have a population limit of 200.\n\n2. Each clan has different bonuses and begins at war with different clans.\n\n3. Complete a clan's secondary objective for a bonus listed below.\n\n4. Oda: Castles have improved range and garrisoned infantry can fire arrows.\nTakeda: Cavalry attack faster and Knight-line has more armor.\nUesugi: Infantry have improved attack.\nMori: Villagers are stronger.\nOtomo: Gunpowder units have improved accuracy.\nChosokabe: Resources last longer.\n\n5. Each clan can research a special technology at the Town Center.\n\n6. On Hard difficulty, you must defeat all clans before time expires."
